Year (N),ISO3,Rank N,Score N,FR_country
2017,TJK,149,"49,73",Tadjikistan
2017,ETH,150,"49,66",Éthiopie
2017,SGP,151,"48,9",Singapour
2017,SWZ,152,"48,73",Eswatini
2017,BLR,153,"47,57",Bélarus
2017,COD,154,"47,33",RD Congo
2017,TUR,155,"47,02",Turquie
2017,BRN,156,"46,28",Brunei
2017,KAZ,157,"45,99",Kazakhstan
2017,IRQ,158,"45,97",Irak
2017,RWA,159,"45,89",Rwanda
2017,BDI,160,"44,22",Burundi
2017,EGY,161,"44,22",Égypte
2017,AZE,162,"43,6",Azerbaïdjan
2017,LBY,163,"43,19",Libye
2017,BHR,164,"41,12",Bahreïn
2017,IRN,165,"34,88",Iran
2017,YEM,166,"34,2",Yémen
2017,SOM,167,"34,05",Somalie
2017,SAU,168,"33,98",Arabie saoudite
2017,UZB,169,"33,89",Ouzbékistan
2017,LAO,170,"33,59",Laos
2017,GNQ,171,"33,53",Guinée équatoriale
2017,DJI,172,"29,46",Djibouti
2017,CUB,173,"28,25",Cuba
2017,SDN,174,"26,44",Soudan
2017,VNM,175,"26,04",Viêt Nam
2017,CHN,176,"22,34",Chine
2017,SYR,177,"18,51",Syrie
2017,TKM,178,"15,81",Turkménistan
2017,ERI,179,"15,76",Érythrée
2017,PRK,180,"15,02",Corée du Nord
